"Dimension","Facets","Time_GLPK","Optimum_GLPK","Time_Cutting_Planes","Optimum_Cutting_Planes"
10,50,0.00400000000013279,-501.687365075895,0.0799999999999272,-501.687365064298
10,50,0,-471.693670755809,0,-84.036630043257
10,50,0.00200000000040745,-689.67330163663,0.0769999999993161,-689.673301612869
10,50,0,-541.507152320636,0,-39.6310428643722
10,50,0,-634.590778666017,0,-289.022424720239
20,80,0,-1211.82179361594,0.0960000000000036,-1211.82179358488
20,80,0,-1260.40938857924,0,796.991136180708
20,80,0.00100000000020373,-1083.55722655461,0.0959999999995489,-1083.55722650889
20,80,0,-717.969203357398,0,-717.96920332871
20,80,0,-1274.00448290875,0,-1274.00448286128
30,110,0,-2598.45747254217,0.111999999999853,178.354474534671
30,110,0,-2397.60150933367,0,-367.866219748614
30,110,0.00200000000040745,-2323.3338975699,0.11200000000008,-2306.09102526009
30,110,0,-2785.15344220128,0,-2785.15344211275
30,110,0,-2623.85764621069,0,-2616.46672915139
40,140,0.00399999999990541,-3457.98037693676,0.104000000000042,-3457.98037680849
40,140,0,-2161.898953852,0,-2161.89895377975
40,140,0.00199999999949796,-2997.30781063316,0.104999999999563,-2997.30781055949
40,140,0,-2840.97535314052,0,-2840.97535305797
40,140,0,-2789.67715088061,0,-2789.67715078504
50,170,0,-3591.25285527199,0.0720000000001164,-3591.25285516932
50,170,0,-4151.21644547023,0,-4151.21644530528
50,170,0.00200000000040745,-3994.82619770483,0.0730000000003201,-3994.8261975817
50,170,0,-4500.19796929022,0,-4500.19796919336
50,170,0,-4107.00025103427,0,-4083.08515032068
10,50,0,-501.687365075895,0.420000000000073,-501.687365064298
10,50,0,-471.693670755809,0,-84.036630043257
10,50,0.00199999999949796,-689.67330163663,0.421000000000276,-689.673301612869
10,50,0,-541.507152320636,0,-39.6310428643722
10,50,0,-634.590778666017,0,-289.022424720239
20,80,0,-1211.82179361594,0.504000000000133,-1211.82179358488
20,80,0,-1260.40938857924,0,796.991136180708
20,80,0.00199999999949796,-1083.55722655461,0.501000000000204,-1083.55722650889
20,80,0,-717.969203357398,0,-717.96920332871
20,80,0,-1274.00448290875,0,-1274.00448286128
30,110,0.00399999999990541,-2598.45747254217,0.451999999999998,178.354474534671
